"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"1400000US42101007900","Census Tract 79, Philadelphia County, Pennsylvania","4485","623","null","null","4375","null","608","null","1963","null","342","null","2056","617","null","null","0","109","null","null","218","null","226","null","0","109","null","null","122","150","null","null","16","null","26","null","0","109","null","null","16","26","null","null","110","null","116","null","64","112","null","null","18","27","null","null","0","null","109","null","0","109","null","null","0","109","null","null","28","null","51","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008000","Census Tract 80, Philadelphia County, Pennsylvania","3600","527","null","null","3469","null","518","null","490","null","206","null","2950","514","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","29","null","34","null","0","109","null","null","29","34","null","null","131","null","129","null","58","89","null","null","45","42","null","null","0","null","109","null","0","109","null","null","0","109","null","null","28","null","45","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008101","Census Tract 81.01, Philadelphia County, Pennsylvania","2308","441","null","null","2308","null","441","null","44","null","57","null","2197","430","null","null","0","109","null","null","43","null","60","null","0","109","null","null","0","109","null","null","24","null","39","null","0","109","null","null","24","39","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania","5083","545","null","null","4972","null","562","null","27","null","38","null","4886","564","null","null","0","109","null","null","24","null","37","null","0","109","null","null","0","109","null","null","35","null","41","null","0","109","null","null","35","41","null","null","111","null","87","null","0","109","null","null","86","86","null","null","0","null","109","null","0","109","null","null","0","109","null","null","15","null","22","null","10","17","null","null","10","null","17","null","0","null","109","null",
"1400000US42101008200","Census Tract 82, Philadelphia County, Pennsylvania","8582","1096","null","null","8518","null","1070","null","61","null","72","null","8429","1082","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","28","null","35","null","0","109","null","null","28","35","null","null","64","null","100","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","64","null","100","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania","4089","501","null","null","4081","null","501","null","127","null","108","null","3807","502","null","null","0","109","null","null","70","null","52","null","0","109","null","null","0","109","null","null","77","null","66","null","0","109","null","null","77","66","null","null","8","null","13","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","8","null","13","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008302","Census Tract 83.02, Philadelphia County, Pennsylvania","4176","546","null","null","4176","null","546","null","29","null","32","null","4039","504","null","null","65","102","null","null","0","null","109","null","0","109","null","null","0","109","null","null","43","null","69","null","0","109","null","null","43","69","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008400","Census Tract 84, Philadelphia County, Pennsylvania","4754","717","null","null","4736","null","718","null","29","null","27","null","4648","713","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","59","null","50","null","0","109","null","null","59","50","null","null","18","null","31","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","18","31","null","null","18","null","31","null","0","null","109","null",
"1400000US42101008500","Census Tract 85, Philadelphia County, Pennsylvania","6127","802","null","null","6027","null","793","null","194","null","163","null","5781","799","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","52","null","51","null","0","109","null","null","52","51","null","null","100","null","136","null","100","136","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008601","Census Tract 86.01, Philadelphia County, Pennsylvania","2857","617","null","null","2672","null","608","null","1080","null","269","null","1227","566","null","null","9","15","null","null","233","null","160","null","0","109","null","null","33","56","null","null","90","null","72","null","0","109","null","null","90","72","null","null","185","null","156","null","79","86","null","null","0","109","null","null","19","null","30","null","0","109","null","null","0","109","null","null","87","null","138","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008602","Census Tract 86.02, Philadelphia County, Pennsylvania","2787","409","null","null","2470","null","499","null","510","null","259","null","1703","372","null","null","0","109","null","null","217","null","137","null","0","109","null","null","0","109","null","null","40","null","52","null","0","109","null","null","40","52","null","null","317","null","316","null","16","26","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","301","null","315","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008701","Census Tract 87.01, Philadelphia County, Pennsylvania","4561","736","null","null","4390","null","721","null","2240","null","515","null","834","295","null","null","0","109","null","null","1275","null","551","null","0","109","null","null","0","109","null","null","41","null","41","null","0","109","null","null","41","41","null","null","171","null","125","null","98","99","null","null","15","24","null","null","0","null","109","null","0","109","null","null","0","109","null","null","18","null","29","null","40","64","null","null","40","null","64","null","0","null","109","null",
"1400000US42101008702","Census Tract 87.02, Philadelphia County, Pennsylvania","3429","735","null","null","3280","null","711","null","2100","null","661","null","419","220","null","null","0","109","null","null","695","null","227","null","0","109","null","null","0","109","null","null","66","null","125","null","9","14","null","null","57","122","null","null","149","null","109","null","56","49","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","75","null","92","null","18","28","null","null","0","null","109","null","18","null","28","null",
"1400000US42101008801","Census Tract 88.01, Philadelphia County, Pennsylvania","1211","427","null","null","1131","null","417","null","881","null","384","null","30","35","null","null","49","66","null","null","171","null","166","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","80","null","67","null","46","53","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","34","null","40","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101008802","Census Tract 88.02, Philadelphia County, Pennsylvania","5861","1977","null","null","5497","null","1747","null","3295","null","1041","null","813","479","null","null","21","35","null","null","1230","null","499","null","0","109","null","null","17","27","null","null","121","null","79","null","0","109","null","null","121","79","null","null","364","null","258","null","273","252","null","null","16","25","null","null","0","null","109","null","29","46","null","null","0","109","null","null","46","null","44","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101009000","Census Tract 90, Philadelphia County, Pennsylvania","4176","658","null","null","4011","null","653","null","3027","null","622","null","206","118","null","null","0","109","null","null","592","null","330","null","0","109","null","null","73","114","null","null","113","null","69","null","0","109","null","null","113","69","null","null","165","null","81","null","73","51","null","null","29","44","null","null","0","null","109","null","0","109","null","null","0","109","null","null","63","null","61","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101009100","Census Tract 91, Philadelphia County, Pennsylvania","2246","277","null","null","2119","null","278","null","946","null","274","null","812","173","null","null","5","9","null","null","263","null","134","null","0","109","null","null","44","69","null","null","49","null","56","null","34","50","null","null","15","23","null","null","127","null","102","null","46","45","null","null","70","81","null","null","0","null","109","null","0","109","null","null","0","109","null","null","11","null","19","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101009200","Census Tract 92, Philadelphia County, Pennsylvania","2701","372","null","null","2661","null","385","null","60","null","58","null","2261","495","null","null","0","109","null","null","289","null","206","null","0","109","null","null","27","29","null","null","24","null","40","null","0","109","null","null","24","40","null","null","40","null","44","null","0","109","null","null","27","42","null","null","0","null","109","null","0","109","null","null","0","109","null","null","13","null","19","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101009300","Census Tract 93, Philadelphia County, Pennsylvania","4242","556","null","null","4242","null","556","null","63","null","58","null","4101","556","null","null","24","28","null","null","21","null","34","null","0","109","null","null","13","22","null","null","20","null","32","null","0","109","null","null","20","32","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101009400","Census Tract 94, Philadelphia County, Pennsylvania","3749","589","null","null","3711","null","599","null","0","null","109","null","3636","579","null","null","0","109","null","null","28","null","44","null","0","109","null","null","0","109","null","null","47","null","71","null","0","109","null","null","47","71","null","null","38","null","60","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","38","60","null","null","38","null","60","null","0","null","109","null",
"1400000US42101009500","Census Tract 95, Philadelphia County, Pennsylvania","3510","552","null","null","3428","null","552","null","13","null","21","null","3404","553","null","null","11","15","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","82","null","81","null","0","109","null","null","31","45","null","null","8","null","13","null","0","109","null","null","0","109","null","null","43","null","66","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101009600","Census Tract 96, Philadelphia County, Pennsylvania","4367","746","null","null","4134","null","731","null","29","null","29","null","3964","742","null","null","67","111","null","null","66","null","78","null","0","109","null","null","0","109","null","null","8","null","11","null","0","109","null","null","8","11","null","null","233","null","276","null","15","22","null","null","34","50","null","null","0","null","109","null","0","109","null","null","0","109","null","null","184","null","266","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101009801","Census Tract 98.01, Philadelphia County, Pennsylvania","2139","451","null","null","2109","null","451","null","214","null","140","null","1895","515","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","30","null","54","null","30","54","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101009802","Census Tract 98.02, Philadelphia County, Pennsylvania","5562","484","null","null","5542","null","487","null","587","null","189","null","4686","470","null","null","0","109","null","null","87","null","78","null","0","109","null","null","53","87","null","null","129","null","129","null","0","109","null","null","129","129","null","null","20","null","34","null","20","34","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010000","Census Tract 100, Philadelphia County, Pennsylvania","5348","581","null","null","5288","null","592","null","560","null","216","null","4646","623","null","null","0","109","null","null","70","null","92","null","0","109","null","null","0","109","null","null","12","null","19","null","0","109","null","null","12","19","null","null","60","null","60","null","0","109","null","null","14","24","null","null","0","null","109","null","0","109","null","null","0","109","null","null","46","null","56","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010100","Census Tract 101, Philadelphia County, Pennsylvania","5571","1090","null","null","5364","null","1140","null","14","null","22","null","5320","1151","null","null","0","109","null","null","0","null","109","null","0","109","null","null","19","30","null","null","11","null","22","null","0","109","null","null","11","22","null","null","207","null","224","null","0","109","null","null","170","213","null","null","0","null","109","null","0","109","null","null","0","109","null","null","37","null","47","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010200","Census Tract 102, Philadelphia County, Pennsylvania","2710","557","null","null","2678","null","547","null","10","null","16","null","2642","547","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","26","null","29","null","0","109","null","null","26","29","null","null","32","null","40","null","0","109","null","null","20","35","null","null","12","null","20","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010300","Census Tract 103, Philadelphia County, Pennsylvania","2428","430","null","null","2428","null","430","null","26","null","40","null","2402","433","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010400","Census Tract 104, Philadelphia County, Pennsylvania","2917","526","null","null","2891","null","523","null","0","null","109","null","2891","523","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","26","null","29","null","14","23","null","null","12","21","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010500","Census Tract 105, Philadelphia County, Pennsylvania","3349","528","null","null","3196","null","527","null","63","null","41","null","3048","499","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","85","null","64","null","0","109","null","null","85","64","null","null","153","null","105","null","0","109","null","null","122","104","null","null","0","null","109","null","0","109","null","null","0","109","null","null","31","null","32","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010600","Census Tract 106, Philadelphia County, Pennsylvania","1196","219","null","null","1164","null","218","null","9","null","15","null","1068","212","null","null","0","109","null","null","19","null","30","null","0","109","null","null","0","109","null","null","68","null","73","null","9","15","null","null","59","79","null","null","32","null","42","null","0","109","null","null","32","42","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010700","Census Tract 107, Philadelphia County, Pennsylvania","3783","652","null","null","3585","null","605","null","87","null","113","null","3488","594","null","null","0","109","null","null","10","null","15","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","198","null","139","null","40","63","null","null","158","130","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010800","Census Tract 108, Philadelphia County, Pennsylvania","3533","623","null","null","3506","null","625","null","95","null","75","null","3393","627","null","null","0","109","null","null","18","null","30","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","27","null","32","null","0","109","null","null","14","21","null","null","0","null","109","null","0","109","null","null","0","109","null","null","13","null","23","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101010900","Census Tract 109, Philadelphia County, Pennsylvania","2482","498","null","null","2467","null","495","null","362","null","303","null","2039","428","null","null","0","109","null","null","66","null","74","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","15","null","24","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","15","null","24","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101011000","Census Tract 110, Philadelphia County, Pennsylvania","3349","552","null","null","3349","null","552","null","66","null","61","null","3262","541","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","21","null","35","null","0","109","null","null","21","35","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101011100","Census Tract 111, Philadelphia County, Pennsylvania","3631","482","null","null","3577","null","480","null","20","null","24","null","3434","488","null","null","0","109","null","null","35","null","67","null","0","109","null","null","0","109","null","null","88","null","97","null","0","109","null","null","88","97","null","null","54","null","85","null","0","109","null","null","11","17","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","43","68","null","null","43","null","68","null","0","null","109","null",
"1400000US42101011200","Census Tract 112, Philadelphia County, Pennsylvania","6203","695","null","null","5423","null","715","null","64","null","61","null","5279","710","null","null","25","39","null","null","0","null","109","null","0","109","null","null","0","109","null","null","55","null","58","null","25","41","null","null","30","44","null","null","780","null","531","null","0","109","null","null","384","315","null","null","0","null","109","null","0","109","null","null","0","109","null","null","277","null","382","null","119","157","null","null","75","null","137","null","44","null","73","null",
"1400000US42101011300","Census Tract 113, Philadelphia County, Pennsylvania","3093","575","null","null","3075","null","577","null","7","null","15","null","3063","579","null","null","5","9","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","18","null","38","null","18","38","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101011400","Census Tract 114, Philadelphia County, Pennsylvania","7214","785","null","null","6886","null","703","null","61","null","58","null","6642","704","null","null","28","43","null","null","66","null","104","null","0","109","null","null","0","109","null","null","89","null","75","null","26","39","null","null","63","65","null","null","328","null","302","null","0","109","null","null","328","302","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101011500","Census Tract 115, Philadelphia County, Pennsylvania","4560","456","null","null","4417","null","460","null","316","null","102","null","4068","478","null","null","0","109","null","null","28","null","43","null","0","109","null","null","0","109","null","null","5","null","20","null","0","109","null","null","5","20","null","null","143","null","107","null","69","75","null","null","63","75","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","11","17","null","null","0","null","109","null","11","null","17","null",
"1400000US42101011700","Census Tract 117, Philadelphia County, Pennsylvania","2788","1077","null","null","2681","null","985","null","1774","null","892","null","802","163","null","null","0","109","null","null","41","null","63","null","5","9","null","null","0","109","null","null","59","null","98","null","0","109","null","null","59","98","null","null","107","null","119","null","86","103","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","21","null","34","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101011800","Census Tract 118, Philadelphia County, Pennsylvania","6720","714","null","null","6702","null","708","null","89","null","86","null","6189","712","null","null","0","109","null","null","291","null","332","null","0","109","null","null","0","109","null","null","133","null","195","null","0","109","null","null","133","195","null","null","18","null","31","null","0","109","null","null","18","31","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101011900","Census Tract 119, Philadelphia County, Pennsylvania","6413","884","null","null","5863","null","865","null","134","null","95","null","5453","779","null","null","0","109","null","null","20","null","34","null","0","109","null","null","0","109","null","null","256","null","265","null","0","109","null","null","256","265","null","null","550","null","420","null","23","27","null","null","209","243","null","null","0","null","109","null","0","109","null","null","0","109","null","null","268","null","287","null","50","59","null","null","22","null","41","null","28","null","45","null",
"1400000US42101012000","Census Tract 120, Philadelphia County, Pennsylvania","1737","235","null","null","1706","null","236","null","498","null","196","null","998","177","null","null","18","28","null","null","25","null","41","null","0","109","null","null","94","106","null","null","73","null","56","null","10","16","null","null","63","51","null","null","31","null","53","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","31","null","53","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101012100","Census Tract 121, Philadelphia County, Pennsylvania","2984","308","null","null","2851","null","357","null","673","null","211","null","2115","284","null","null","10","16","null","null","42","null","35","null","0","109","null","null","0","109","null","null","11","null","20","null","11","20","null","null","0","109","null","null","133","null","156","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","133","null","156","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101012201","Census Tract 122.01, Philadelphia County, Pennsylvania","3069","339","null","null","2807","null","277","null","961","null","220","null","1390","330","null","null","21","33","null","null","197","null","107","null","0","109","null","null","37","61","null","null","201","null","138","null","15","24","null","null","186","136","null","null","262","null","287","null","247","287","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","15","null","22","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania","1230","260","null","null","1207","null","261","null","627","null","216","null","245","242","null","null","0","109","null","null","309","null","121","null","0","109","null","null","0","109","null","null","26","null","31","null","0","109","null","null","26","31","null","null","23","null","36","null","23","36","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101012204","Census Tract 122.04, Philadelphia County, Pennsylvania","4113","505","null","null","4077","null","495","null","851","null","185","null","2939","531","null","null","18","27","null","null","235","null","187","null","0","109","null","null","0","109","null","null","34","null","37","null","0","109","null","null","34","37","null","null","36","null","51","null","36","51","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101012500","Census Tract 125, Philadelphia County, Pennsylvania","3711","330","null","null","3495","null","313","null","2205","null","354","null","340","139","null","null","0","109","null","null","859","null","297","null","15","24","null","null","28","45","null","null","48","null","45","null","0","109","null","null","48","45","null","null","216","null","104","null","139","92","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","61","null","70","null","16","26","null","null","0","null","109","null","16","null","26","null",
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","1557","340","null","null","1457","null","313","null","155","null","87","null","1242","330","null","null","0","109","null","null","7","null","12","null","0","109","null","null","0","109","null","null","53","null","59","null","0","109","null","null","53","59","null","null","100","null","125","null","55","89","null","null","45","79","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","2618","416","null","null","2519","null","401","null","164","null","70","null","2177","356","null","null","4","7","null","null","174","null","205","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","99","null","73","null","66","67","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","33","null","29","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","2533","456","null","null","2051","null","379","null","913","null","181","null","998","359","null","null","0","109","null","null","133","null","101","null","0","109","null","null","0","109","null","null","7","null","11","null","0","109","null","null","7","11","null","null","482","null","328","null","309","288","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","161","null","169","null","12","19","null","null","12","null","19","null","0","null","109","null",
"1400000US42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania","2220","211","null","null","2203","null","214","null","2080","null","252","null","40","46","null","null","0","109","null","null","83","null","70","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","17","null","27","null","17","27","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania","2849","408","null","null","2721","null","408","null","2005","null","313","null","509","377","null","null","41","62","null","null","166","null","133","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","128","null","128","null","62","104","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","66","null","71","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","3194","359","null","null","2971","null","347","null","1511","null","249","null","1332","257","null","null","0","109","null","null","72","null","55","null","0","109","null","null","0","109","null","null","56","null","60","null","0","109","null","null","56","60","null","null","223","null","170","null","146","128","null","null","31","48","null","null","0","null","109","null","0","109","null","null","0","109","null","null","46","null","70","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania","2332","181","null","null","2287","null","185","null","1875","null","243","null","313","268","null","null","0","109","null","null","99","null","73","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","45","null","42","null","30","34","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","15","25","null","null","15","null","25","null","0","null","109","null",
"1400000US42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania","3503","526","null","null","3223","null","487","null","3117","null","479","null","13","21","null","null","0","109","null","null","51","null","69","null","0","109","null","null","28","35","null","null","14","null","21","null","0","109","null","null","14","21","null","null","280","null","260","null","236","260","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","16","null","25","null","28","45","null","null","28","null","45","null","0","null","109","null",
"1400000US42101013700","Census Tract 137, Philadelphia County, Pennsylvania","4833","661","null","null","4817","null","660","null","362","null","165","null","4441","664","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","14","null","22","null","0","109","null","null","14","22","null","null","16","null","22","null","16","22","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","1831","293","null","null","1818","null","294","null","33","null","39","null","1673","280","null","null","64","76","null","null","0","null","109","null","0","109","null","null","0","109","null","null","48","null","66","null","0","109","null","null","48","66","null","null","13","null","23","null","13","23","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","3474","471","null","null","3402","null","468","null","303","null","140","null","2978","446","null","null","0","109","null","null","25","null","33","null","0","109","null","null","50","51","null","null","46","null","57","null","0","109","null","null","46","57","null","null","72","null","53","null","16","14","null","null","32","44","null","null","8","null","14","null","0","109","null","null","0","109","null","null","16","null","20","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","2842","458","null","null","2689","null","453","null","311","null","210","null","2322","468","null","null","0","109","null","null","56","null","74","null","0","109","null","null","0","109","null","null","0","null","109","null","0","109","null","null","0","109","null","null","153","null","80","null","14","22","null","null","66","62","null","null","0","null","109","null","0","109","null","null","0","109","null","null","73","null","50","null","0","109","null","null","0","null","109","null","0","null","109","null",
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","2279","370","null","null","1953","null","270","null","268","null","161","null","1466","234","null","null","0","109","null","null","123","null","106","null","0","109","null","null","0","109","null","null","96","null","94","null","0","109","null","null","96","94","null","null","326","null","253","null","123","106","null","null","35","38","null","null","0","null","109","null","0","109","null","null","0","109","null","null","159","null","160","null","9","16","null","null","0","null","109","null","9","null","16","null",
"1400000US42101014200","Census Tract 142, Philadelphia County, Pennsylvania","2972","365","null","null","2680","null","385","null","2129","null","374","null","313","157","null","null","0","109","null","null","138","null","146","null","0","109","null","null","0","109","null","null","100","null","72","null","12","20","null","null","88","71","null","null","292","null","141","null","143","106","null","null","36","42","null","null","0","null","109","null","0","109","null","null","0","109","null","null","77","null","79","null","36","42","null","null","12","null","19","null","24","null","38","null",
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","1258","174","null","null","1160","null","162","null","1079","null","168","null","57","59","null","null","0","109","null","null","5","null","18","null","0","109","null","null","0","109","null","null","19","null","23","null","0","109","null","null","19","23","null","null","98","null","70","null","50","45","null","null","14","24","null","null","0","null","109","null","0","109","null","null","0","109","null","null","20","null","33","null","14","24","null","null","0","null","109","null","14","null","24","null",
