"GEO_ID","NAME","B15002_001E","B15002_001M","B15002_001MA","B15002_001EA","B15002_002E","B15002_002M","B15002_002MA","B15002_002EA","B15002_003E","B15002_003EA","B15002_003M","B15002_003MA","B15002_004E","B15002_004EA","B15002_004M","B15002_004MA","B15002_005E","B15002_005M","B15002_005MA","B15002_005EA","B15002_006E","B15002_006EA","B15002_006M","B15002_006MA","B15002_007E","B15002_007M","B15002_007MA","B15002_007EA","B15002_008E","B15002_008M","B15002_008MA","B15002_008EA","B15002_009E","B15002_009M","B15002_009MA","B15002_009EA","B15002_010E","B15002_010M","B15002_010MA","B15002_010EA","B15002_011E","B15002_011M","B15002_011MA","B15002_011EA","B15002_012E","B15002_012M","B15002_012MA","B15002_012EA","B15002_013E","B15002_013EA","B15002_013M","B15002_013MA","B15002_014E","B15002_014EA","B15002_014M","B15002_014MA","B15002_015E","B15002_015M","B15002_015MA","B15002_015EA","B15002_016E","B15002_016M","B15002_016MA","B15002_016EA","B15002_017E","B15002_017M","B15002_017MA","B15002_017EA","B15002_018E","B15002_018M","B15002_018MA","B15002_018EA","B15002_019E","B15002_019M","B15002_019MA","B15002_019EA","B15002_020E","B15002_020M","B15002_020MA","B15002_020EA","B15002_021E","B15002_021M","B15002_021MA","B15002_021EA","B15002_022E","B15002_022M","B15002_022MA","B15002_022EA","B15002_023E","B15002_023M","B15002_023MA","B15002_023EA","B15002_024E","B15002_024M","B15002_024MA","B15002_024EA","B15002_025E","B15002_025M","B15002_025MA","B15002_025EA","B15002_026E","B15002_026M","B15002_026MA","B15002_026EA","B15002_027E","B15002_027M","B15002_027MA","B15002_027EA","B15002_028E","B15002_028M","B15002_028MA","B15002_028EA","B15002_029E","B15002_029M","B15002_029MA","B15002_029EA","B15002_030E","B15002_030M","B15002_030MA","B15002_030EA","B15002_031E","B15002_031M","B15002_031MA","B15002_031EA","B15002_032E","B15002_032M","B15002_032MA","B15002_032EA","B15002_033E","B15002_033EA","B15002_033M","B15002_033MA","B15002_034E","B15002_034EA","B15002_034M","B15002_034MA","B15002_035E","B15002_035M","B15002_035MA","B15002_035EA",
"1400000US42101010700","Census Tract 107, Philadelphia County, Pennsylvania","2027","370","null","null","727","187","null","null","3","null","6","null","0","null","11","null","0","11","null","null","0","null","11","null","34","53","null","null","21","36","null","null","89","80","null","null","39","44","null","null","247","105","null","null","9","15","null","null","205","null","114","null","11","null","17","null","51","60","null","null","18","29","null","null","0","11","null","null","0","11","null","null","1300","273","null","null","8","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","112","85","null","null","18","27","null","null","140","72","null","null","19","22","null","null","547","186","null","null","57","48","null","null","144","88","null","null","61","72","null","null","150","157","null","null","44","null","47","null","0","null","11","null","0","11","null","null",
"1400000US42101010800","Census Tract 108, Philadelphia County, Pennsylvania","2479","360","null","null","1060","209","null","null","55","null","51","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","70","62","null","null","70","56","null","null","51","42","null","null","323","155","null","null","35","34","null","null","202","null","93","null","45","null","44","null","119","78","null","null","44","33","null","null","46","51","null","null","0","11","null","null","1419","294","null","null","13","21","null","null","0","11","null","null","0","11","null","null","27","40","null","null","0","11","null","null","0","11","null","null","85","68","null","null","79","61","null","null","436","212","null","null","78","53","null","null","242","100","null","null","68","51","null","null","326","223","null","null","59","null","50","null","0","null","11","null","6","10","null","null",
"1400000US42101010900","Census Tract 109, Philadelphia County, Pennsylvania","1436","225","null","null","548","126","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","5","12","null","null","28","37","null","null","45","33","null","null","7","10","null","null","233","93","null","null","9","14","null","null","21","null","22","null","29","null","25","null","156","74","null","null","8","11","null","null","5","8","null","null","2","4","null","null","888","147","null","null","16","19","null","null","0","11","null","null","4","7","null","null","28","36","null","null","7","10","null","null","9","15","null","null","32","27","null","null","7","13","null","null","387","118","null","null","36","30","null","null","122","58","null","null","78","50","null","null","59","40","null","null","92","null","55","null","4","null","6","null","7","10","null","null",
"1400000US42101011000","Census Tract 110, Philadelphia County, Pennsylvania","1823","289","null","null","672","191","null","null","18","null","40","null","0","null","11","null","0","11","null","null","0","null","11","null","79","64","null","null","45","40","null","null","16","36","null","null","24","42","null","null","151","89","null","null","65","52","null","null","178","null","114","null","42","null","41","null","41","34","null","null","0","11","null","null","0","11","null","null","13","21","null","null","1151","227","null","null","37","37","null","null","0","11","null","null","0","11","null","null","28","44","null","null","66","54","null","null","163","122","null","null","25","26","null","null","26","31","null","null","546","202","null","null","49","51","null","null","76","55","null","null","84","65","null","null","44","33","null","null","7","null","11","null","0","null","11","null","0","11","null","null",
"1400000US42101011100","Census Tract 111, Philadelphia County, Pennsylvania","2432","413","null","null","1016","306","null","null","0","null","11","null","0","null","11","null","0","11","null","null","22","null","25","null","0","11","null","null","18","28","null","null","21","25","null","null","13","21","null","null","427","173","null","null","40","47","null","null","249","null","129","null","121","null","180","null","93","58","null","null","12","18","null","null","0","11","null","null","0","11","null","null","1416","234","null","null","2","5","null","null","0","11","null","null","0","11","null","null","32","36","null","null","0","11","null","null","35","56","null","null","54","47","null","null","36","41","null","null","516","162","null","null","40","36","null","null","394","135","null","null","60","54","null","null","188","96","null","null","59","null","48","null","0","null","11","null","0","11","null","null",
"1400000US42101011200","Census Tract 112, Philadelphia County, Pennsylvania","3084","479","null","null","1473","441","null","null","0","null","15","null","10","null","18","null","0","15","null","null","16","null","41","null","0","15","null","null","128","130","null","null","86","93","null","null","9","20","null","null","815","395","null","null","54","72","null","null","293","null","245","null","25","null","43","null","33","52","null","null","0","15","null","null","0","15","null","null","4","9","null","null","1611","239","null","null","0","15","null","null","0","15","null","null","0","15","null","null","5","10","null","null","0","15","null","null","12","21","null","null","25","36","null","null","10","15","null","null","635","225","null","null","49","79","null","null","540","207","null","null","85","85","null","null","141","92","null","null","84","null","85","null","9","null","23","null","16","27","null","null",
"1400000US42101011300","Census Tract 113, Philadelphia County, Pennsylvania","2148","515","null","null","910","281","null","null","55","null","56","null","0","null","11","null","0","11","null","null","0","null","11","null","39","39","null","null","23","36","null","null","34","44","null","null","26","41","null","null","286","168","null","null","46","52","null","null","154","null","122","null","49","null","54","null","198","176","null","null","0","11","null","null","0","11","null","null","0","11","null","null","1238","286","null","null","11","19","null","null","0","11","null","null","0","11","null","null","0","11","null","null","10","16","null","null","34","34","null","null","20","31","null","null","20","22","null","null","431","156","null","null","56","60","null","null","310","155","null","null","50","52","null","null","92","84","null","null","204","null","210","null","0","null","11","null","0","11","null","null",
"1400000US42101011400","Census Tract 114, Philadelphia County, Pennsylvania","4453","860","null","null","2267","688","null","null","17","null","26","null","0","null","15","null","0","15","null","null","15","null","25","null","26","45","null","null","107","99","null","null","62","70","null","null","82","115","null","null","953","582","null","null","297","233","null","null","163","null","136","null","16","null","21","null","310","187","null","null","166","172","null","null","20","25","null","null","33","53","null","null","2186","478","null","null","0","15","null","null","0","15","null","null","90","76","null","null","0","15","null","null","0","15","null","null","48","78","null","null","48","73","null","null","56","51","null","null","832","339","null","null","80","87","null","null","354","235","null","null","70","74","null","null","196","144","null","null","299","null","215","null","84","null","111","null","29","48","null","null",
"1400000US42101011500","Census Tract 115, Philadelphia County, Pennsylvania","2983","436","null","null","1359","222","null","null","11","null","15","null","0","null","11","null","0","11","null","null","0","null","11","null","53","81","null","null","47","45","null","null","6","10","null","null","0","11","null","null","338","119","null","null","75","62","null","null","180","null","85","null","162","null","122","null","340","147","null","null","113","97","null","null","21","36","null","null","13","19","null","null","1624","287","null","null","52","73","null","null","0","11","null","null","0","11","null","null","0","11","null","null","8","16","null","null","50","55","null","null","38","42","null","null","14","19","null","null","353","180","null","null","48","37","null","null","325","147","null","null","253","119","null","null","377","180","null","null","106","null","60","null","0","null","11","null","0","11","null","null",
"1400000US42101011700","Census Tract 117, Philadelphia County, Pennsylvania","716","192","null","null","417","135","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","3","5","null","null","0","11","null","null","6","9","null","null","106","71","null","null","3","8","null","null","77","null","49","null","10","null","12","null","154","121","null","null","35","29","null","null","6","8","null","null","17","20","null","null","299","75","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","4","7","null","null","6","8","null","null","0","11","null","null","56","26","null","null","24","17","null","null","54","26","null","null","18","18","null","null","50","24","null","null","77","null","59","null","0","null","11","null","10","11","null","null",
"1400000US42101011800","Census Tract 118, Philadelphia County, Pennsylvania","4213","712","null","null","1794","561","null","null","67","null","68","null","0","null","15","null","0","15","null","null","16","null","25","null","0","15","null","null","86","96","null","null","0","15","null","null","0","15","null","null","687","407","null","null","174","149","null","null","244","null","149","null","127","null","128","null","152","133","null","null","181","111","null","null","30","35","null","null","30","52","null","null","2419","415","null","null","16","24","null","null","1","2","null","null","0","15","null","null","15","24","null","null","56","87","null","null","72","64","null","null","0","15","null","null","12","20","null","null","653","263","null","null","185","209","null","null","444","218","null","null","142","116","null","null","465","267","null","null","342","null","179","null","16","null","24","null","0","15","null","null",
"1400000US42101011900","Census Tract 119, Philadelphia County, Pennsylvania","3563","675","null","null","1565","362","null","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","50","86","null","null","17","28","null","null","75","76","null","null","92","123","null","null","652","229","null","null","74","57","null","null","246","null","216","null","1","null","3","null","263","143","null","null","75","68","null","null","20","30","null","null","0","15","null","null","1998","441","null","null","1","3","null","null","0","15","null","null","0","15","null","null","19","30","null","null","0","15","null","null","69","57","null","null","71","68","null","null","43","53","null","null","521","265","null","null","154","122","null","null","551","257","null","null","81","52","null","null","206","120","null","null","201","null","109","null","81","null","130","null","0","15","null","null",
"1400000US42101012000","Census Tract 120, Philadelphia County, Pennsylvania","1224","292","null","null","700","237","null","null","5","null","10","null","0","null","11","null","0","11","null","null","4","null","9","null","0","11","null","null","0","11","null","null","8","11","null","null","0","11","null","null","202","99","null","null","1","4","null","null","134","null","73","null","90","null","131","null","73","42","null","null","136","99","null","null","21","18","null","null","26","20","null","null","524","111","null","null","4","10","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","25","25","null","null","5","7","null","null","64","47","null","null","26","23","null","null","15","17","null","null","20","18","null","null","105","55","null","null","105","null","71","null","139","null","120","null","16","19","null","null",
"1400000US42101012100","Census Tract 121, Philadelphia County, Pennsylvania","2503","383","null","null","954","210","null","null","16","null","25","null","6","null","7","null","0","11","null","null","49","null","48","null","39","77","null","null","7","13","null","null","20","30","null","null","0","11","null","null","242","97","null","null","41","35","null","null","77","null","74","null","22","null","27","null","176","86","null","null","202","108","null","null","28","44","null","null","29","34","null","null","1549","295","null","null","11","19","null","null","0","11","null","null","24","38","null","null","15","19","null","null","3","7","null","null","9","16","null","null","13","13","null","null","22","34","null","null","347","163","null","null","38","39","null","null","388","202","null","null","104","65","null","null","240","97","null","null","269","null","141","null","58","null","51","null","8","13","null","null",
"1400000US42101012201","Census Tract 122.01, Philadelphia County, Pennsylvania","2256","445","null","null","1051","341","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","230","101","null","null","60","87","null","null","46","null","45","null","71","null","82","null","518","302","null","null","96","75","null","null","15","24","null","null","15","23","null","null","1205","230","null","null","38","48","null","null","0","11","null","null","14","27","null","null","71","75","null","null","0","11","null","null","37","57","null","null","44","57","null","null","25","33","null","null","220","115","null","null","19","27","null","null","90","91","null","null","66","50","null","null","299","168","null","null","177","null","91","null","105","null","84","null","0","11","null","null",
"1400000US42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania","626","186","null","null","345","143","null","null","13","null","20","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","2","4","null","null","0","11","null","null","26","36","null","null","89","106","null","null","8","null","12","null","0","null","11","null","121","84","null","null","56","45","null","null","20","20","null","null","10","11","null","null","281","87","null","null","11","18","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","7","12","null","null","0","11","null","null","52","48","null","null","8","12","null","null","127","59","null","null","15","null","16","null","61","null","53","null","0","11","null","null",
"1400000US42101012204","Census Tract 122.04, Philadelphia County, Pennsylvania","3219","343","null","null","1252","252","null","null","0","null","11","null","0","null","11","null","6","14","null","null","5","null","10","null","7","16","null","null","0","11","null","null","0","11","null","null","23","25","null","null","337","200","null","null","78","43","null","null","148","null","100","null","46","null","45","null","298","122","null","null","238","122","null","null","34","38","null","null","32","28","null","null","1967","238","null","null","3","8","null","null","0","11","null","null","4","10","null","null","43","41","null","null","13","29","null","null","69","58","null","null","23","36","null","null","21","23","null","null","333","104","null","null","95","54","null","null","400","151","null","null","119","72","null","null","356","122","null","null","409","null","112","null","41","null","33","null","38","40","null","null",
"1400000US42101012501","Census Tract 125.01, Philadelphia County, Pennsylvania","1829","417","null","null","751","228","null","null","0","null","11","null","0","null","11","null","3","8","null","null","9","null","10","null","0","11","null","null","0","11","null","null","6","16","null","null","6","15","null","null","115","117","null","null","0","11","null","null","19","null","30","null","0","null","11","null","307","139","null","null","217","159","null","null","69","77","null","null","0","11","null","null","1078","263","null","null","0","11","null","null","7","16","null","null","6","13","null","null","5","10","null","null","11","16","null","null","0","11","null","null","7","16","null","null","9","13","null","null","206","166","null","null","17","28","null","null","54","79","null","null","62","97","null","null","206","78","null","null","305","null","198","null","133","null","105","null","50","46","null","null",
"1400000US42101012502","Census Tract 125.02, Philadelphia County, Pennsylvania","3107","439","null","null","1166","292","null","null","26","null","41","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","19","31","null","null","0","11","null","null","72","null","90","null","0","null","11","null","401","178","null","null","342","176","null","null","137","77","null","null","169","119","null","null","1941","288","null","null","0","11","null","null","0","11","null","null","0","11","null","null","20","33","null","null","0","11","null","null","0","11","null","null","0","11","null","null","58","69","null","null","316","187","null","null","0","11","null","null","103","120","null","null","22","34","null","null","557","174","null","null","545","null","206","null","226","null","99","null","94","75","null","null",
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","1215","279","null","null","544","102","null","null","18","null","24","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","33","36","null","null","0","11","null","null","9","14","null","null","109","66","null","null","0","11","null","null","61","null","47","null","0","null","11","null","258","69","null","null","45","34","null","null","0","11","null","null","11","14","null","null","671","248","null","null","17","23","null","null","0","11","null","null","0","11","null","null","0","11","null","null","15","20","null","null","41","37","null","null","19","20","null","null","0","11","null","null","164","71","null","null","21","18","null","null","52","37","null","null","21","24","null","null","149","87","null","null","156","null","196","null","8","null","11","null","8","12","null","null",
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","2178","397","null","null","957","342","null","null","6","null","13","null","0","null","11","null","5","12","null","null","0","null","11","null","52","58","null","null","0","11","null","null","5","12","null","null","10","16","null","null","150","88","null","null","24","29","null","null","136","null","101","null","0","null","11","null","268","228","null","null","129","116","null","null","85","107","null","null","87","144","null","null","1221","264","null","null","0","11","null","null","0","11","null","null","9","14","null","null","30","35","null","null","0","11","null","null","35","38","null","null","83","63","null","null","70","68","null","null","381","137","null","null","80","55","null","null","143","102","null","null","19","27","null","null","316","228","null","null","27","null","31","null","28","null","28","null","0","11","null","null",
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","2442","340","null","null","1245","246","null","null","0","null","11","null","0","null","11","null","0","11","null","null","5","null","12","null","50","117","null","null","2","7","null","null","8","14","null","null","0","11","null","null","91","66","null","null","0","11","null","null","94","null","63","null","70","null","50","null","493","153","null","null","196","82","null","null","159","65","null","null","77","45","null","null","1197","189","null","null","8","15","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","7","13","null","null","5","12","null","null","0","11","null","null","104","59","null","null","21","24","null","null","35","47","null","null","46","37","null","null","298","106","null","null","405","null","161","null","210","null","82","null","58","46","null","null",
"1400000US42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania","2583","354","null","null","1128","264","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","2","4","null","null","10","15","null","null","0","11","null","null","0","11","null","null","152","125","null","null","0","11","null","null","101","null","66","null","70","null","105","null","362","147","null","null","192","68","null","null","188","91","null","null","51","52","null","null","1455","198","null","null","0","11","null","null","0","11","null","null","10","15","null","null","0","11","null","null","0","11","null","null","1","3","null","null","0","11","null","null","0","11","null","null","134","69","null","null","53","55","null","null","119","66","null","null","16","19","null","null","481","137","null","null","382","null","110","null","177","null","83","null","82","76","null","null",
"1400000US42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania","2313","334","null","null","1219","248","null","null","0","null","11","null","0","null","11","null","0","11","null","null","1","null","3","null","0","11","null","null","0","11","null","null","7","11","null","null","9","16","null","null","67","73","null","null","1","3","null","null","39","null","61","null","35","null","46","null","563","171","null","null","213","110","null","null","183","137","null","null","101","66","null","null","1094","189","null","null","19","31","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","82","80","null","null","11","19","null","null","22","24","null","null","18","29","null","null","426","147","null","null","338","null","117","null","120","null","63","null","58","74","null","null",
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","3110","525","null","null","1748","442","null","null","0","null","11","null","0","null","11","null","12","20","null","null","16","null","23","null","0","11","null","null","0","11","null","null","12","19","null","null","12","22","null","null","349","237","null","null","36","48","null","null","185","null","98","null","12","null","18","null","681","197","null","null","214","95","null","null","165","90","null","null","54","32","null","null","1362","241","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","50","41","null","null","10","18","null","null","159","103","null","null","17","20","null","null","73","46","null","null","27","29","null","null","541","196","null","null","374","null","95","null","58","null","36","null","53","36","null","null",
"1400000US42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania","2470","302","null","null","1124","175","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","11","17","null","null","54","48","null","null","0","11","null","null","198","null","99","null","58","null","39","null","424","128","null","null","146","59","null","null","108","58","null","null","125","61","null","null","1346","243","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","16","20","null","null","127","64","null","null","18","23","null","null","57","53","null","null","20","21","null","null","431","141","null","null","499","null","151","null","96","null","73","null","82","43","null","null",
"1400000US42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania","3269","478","null","null","1654","416","null","null","14","null","22","null","31","null","40","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","68","39","null","null","27","28","null","null","99","null","72","null","33","null","34","null","700","190","null","null","377","359","null","null","247","97","null","null","58","37","null","null","1615","232","null","null","0","11","null","null","18","23","null","null","29","39","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","111","57","null","null","0","11","null","null","88","85","null","null","27","33","null","null","748","199","null","null","347","null","102","null","151","null","70","null","96","59","null","null",
"1400000US42101013701","Census Tract 137.01, Philadelphia County, Pennsylvania","1255","306","null","null","589","144","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","204","95","null","null","0","11","null","null","86","null","63","null","38","null","48","null","111","86","null","null","88","67","null","null","34","55","null","null","28","44","null","null","666","260","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","28","41","null","null","0","11","null","null","86","74","null","null","54","36","null","null","0","11","null","null","0","11","null","null","227","121","null","null","209","null","208","null","62","null","100","null","0","11","null","null",
"1400000US42101013702","Census Tract 137.02, Philadelphia County, Pennsylvania","2502","510","null","null","820","227","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","96","100","null","null","0","11","null","null","271","134","null","null","17","27","null","null","177","null","111","null","17","null","38","null","163","94","null","null","28","51","null","null","51","54","null","null","0","11","null","null","1682","460","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","80","85","null","null","17","28","null","null","631","342","null","null","143","201","null","null","100","100","null","null","44","66","null","null","281","146","null","null","339","null","176","null","24","null","36","null","23","36","null","null",
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","1299","210","null","null","592","121","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","43","46","null","null","14","16","null","null","11","16","null","null","156","74","null","null","45","45","null","null","62","null","54","null","24","null","20","null","111","59","null","null","109","79","null","null","17","24","null","null","0","11","null","null","707","147","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","32","28","null","null","85","49","null","null","0","11","null","null","122","54","null","null","14","16","null","null","165","112","null","null","61","39","null","null","107","46","null","null","89","null","61","null","6","null","9","null","26","23","null","null",
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","1426","328","null","null","702","235","null","null","0","null","11","null","9","null","20","null","10","20","null","null","39","null","46","null","10","20","null","null","42","59","null","null","25","38","null","null","26","39","null","null","188","101","null","null","0","11","null","null","12","null","19","null","12","null","21","null","207","100","null","null","106","108","null","null","16","23","null","null","0","11","null","null","724","256","null","null","9","19","null","null","7","12","null","null","0","11","null","null","18","38","null","null","0","11","null","null","10","20","null","null","59","43","null","null","0","11","null","null","142","89","null","null","37","51","null","null","248","200","null","null","32","38","null","null","49","50","null","null","86","null","80","null","15","null","22","null","12","19","null","null",
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","2391","672","null","null","1380","457","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","31","56","null","null","22","38","null","null","0","11","null","null","30","41","null","null","413","152","null","null","32","40","null","null","269","null","206","null","45","null","39","null","424","217","null","null","95","66","null","null","19","29","null","null","0","11","null","null","1011","325","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","39","38","null","null","0","11","null","null","148","80","null","null","101","116","null","null","131","89","null","null","57","58","null","null","332","286","null","null","157","null","90","null","46","null","42","null","0","11","null","null",
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","1872","374","null","null","854","245","null","null","26","null","30","null","0","null","11","null","13","19","null","null","0","null","11","null","18","30","null","null","19","29","null","null","40","53","null","null","0","11","null","null","325","128","null","null","16","32","null","null","157","null","91","null","23","null","32","null","117","75","null","null","100","101","null","null","0","11","null","null","0","11","null","null","1018","261","null","null","28","42","null","null","0","11","null","null","31","50","null","null","0","11","null","null","0","11","null","null","66","55","null","null","122","78","null","null","123","132","null","null","226","172","null","null","59","46","null","null","79","80","null","null","61","45","null","null","146","79","null","null","54","null","57","null","0","null","11","null","23","34","null","null",
"1400000US42101014201","Census Tract 142.01, Philadelphia County, Pennsylvania","3096","423","null","null","1527","235","null","null","83","null","67","null","0","null","11","null","0","11","null","null","41","null","64","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","142","93","null","null","24","34","null","null","153","null","130","null","65","null","82","null","613","208","null","null","145","76","null","null","108","83","null","null","153","99","null","null","1569","305","null","null","46","68","null","null","0","11","null","null","0","11","null","null","17","25","null","null","8","18","null","null","0","11","null","null","0","11","null","null","0","11","null","null","121","133","null","null","0","11","null","null","178","131","null","null","30","30","null","null","682","220","null","null","327","null","144","null","92","null","89","null","68","54","null","null",
"1400000US42101014202","Census Tract 142.02, Philadelphia County, Pennsylvania","2100","458","null","null","1080","314","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","36","46","null","null","79","103","null","null","163","null","139","null","64","null","101","null","405","236","null","null","131","113","null","null","164","82","null","null","38","42","null","null","1020","333","null","null","9","15","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","135","134","null","null","0","11","null","null","0","11","null","null","43","50","null","null","415","212","null","null","234","null","105","null","184","null","135","null","0","11","null","null",
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","1789","211","null","null","969","179","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","22","34","null","null","214","89","null","null","41","22","null","null","11","null","13","null","72","null","38","null","417","89","null","null","109","46","null","null","46","33","null","null","37","29","null","null","820","139","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","6","10","null","null","0","11","null","null","116","38","null","null","24","27","null","null","53","33","null","null","27","19","null","null","327","105","null","null","191","null","97","null","40","null","33","null","36","38","null","null",
"1400000US42101014400","Census Tract 144, Philadelphia County, Pennsylvania","3696","784","null","null","2206","675","null","null","58","null","78","null","19","null","32","null","22","21","null","null","229","null","255","null","0","11","null","null","12","18","null","null","87","122","null","null","11","18","null","null","230","146","null","null","62","49","null","null","61","null","56","null","72","null","61","null","906","572","null","null","175","84","null","null","132","73","null","null","130","188","null","null","1490","285","null","null","10","16","null","null","30","35","null","null","10","16","null","null","43","67","null","null","0","11","null","null","11","17","null","null","18","27","null","null","21","23","null","null","226","137","null","null","40","35","null","null","53","49","null","null","58","51","null","null","636","229","null","null","244","null","87","null","80","null","46","null","10","17","null","null",
"1400000US42101014500","Census Tract 145, Philadelphia County, Pennsylvania","1204","225","null","null","564","122","null","null","1","null","3","null","0","null","11","null","17","28","null","null","9","null","13","null","11","16","null","null","0","11","null","null","27","32","null","null","37","31","null","null","238","91","null","null","67","52","null","null","41","null","36","null","37","null","47","null","56","36","null","null","11","15","null","null","0","11","null","null","12","17","null","null","640","170","null","null","0","11","null","null","10","14","null","null","6","9","null","null","0","11","null","null","28","30","null","null","10","13","null","null","57","46","null","null","33","29","null","null","191","89","null","null","41","35","null","null","111","92","null","null","49","27","null","null","55","70","null","null","49","null","32","null","0","null","11","null","0","11","null","null",
"1400000US42101014600","Census Tract 146, Philadelphia County, Pennsylvania","1522","247","null","null","646","163","null","null","8","null","12","null","0","null","11","null","9","19","null","null","0","null","11","null","0","11","null","null","0","11","null","null","27","26","null","null","68","53","null","null","321","130","null","null","7","12","null","null","56","null","35","null","31","null","23","null","89","46","null","null","20","24","null","null","10","14","null","null","0","11","null","null","876","134","null","null","12","13","null","null","0","11","null","null","0","11","null","null","16","17","null","null","0","11","null","null","22","18","null","null","72","50","null","null","9","13","null","null","290","102","null","null","73","52","null","null","176","86","null","null","73","43","null","null","63","44","null","null","70","null","48","null","0","null","11","null","0","11","null","null",
"1400000US42101014700","Census Tract 147, Philadelphia County, Pennsylvania","700","276","null","null","223","117","null","null","22","null","35","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","14","23","null","null","0","11","null","null","15","25","null","null","58","70","null","null","37","47","null","null","17","null","24","null","0","null","11","null","44","71","null","null","16","24","null","null","0","11","null","null","0","11","null","null","477","224","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","40","50","null","null","13","26","null","null","138","69","null","null","34","45","null","null","105","100","null","null","59","99","null","null","88","103","null","null","0","null","11","null","0","null","11","null","0","11","null","null",
